video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9g3lVBXwTqM&pp=ygULdHJhdmVsIEFzaWE%3D,/@touropia,touropia,50 Best Places to Visit in Asia - Travel Video,1.2M,1 year,"The largest continent on Earth, Asia stretches all the way from the shores of the Mediterranean Sea to the Pacific Ocean. Its vast ...",2026-01-17 02:31:26.575078
/watch?v=wj6CjrMY_bs&pp=ygULdHJhdmVsIEFzaWE%3D,/@NewTravelInsight,New Travel Insight,Beautiful Villages in Southeast Asia | Life on the Edge of the World,1.3M,6 months,"Beautiful Villages in Southeast Asia | Life on the Edge of the World Nestled between mountains, perched on cliffs, and hidden ...",2026-01-17 02:31:26.576012
/watch?v=00KoeUuHZwg&pp=ygULdHJhdmVsIEFzaWE%3D,/@myunrealplanettv.,My Unreal Planet TV,Unreal Hidden Places in Southeast Asia – You Won’t Believe They Exist,3.8M,8 months,"Think Southeast Asia is all beaches and temples? Think again. In this video, we uncover some of the most unreal hidden places in ...",2026-01-17 02:31:26.576687
/shorts/4mIQzcdjZ_0,/@uyenninh,Uyen Ninh,When an Asian travel,28M,5 months,shorts #comedy #uyen Become a channel member and receive exclusive perks: ...,2026-01-17 02:31:26.577415
/watch?v=EhnkP2CRqOw&pp=ygULdHJhdmVsIEFzaWE%3D,/@myunrealplanettv.,My Unreal Planet TV,WONDERS OF ASIA | The Most Amazing Places in Asia #China #Japan  #travel #4K,333K,1 year,Embark on a breathtaking 4K journey through Asia's most spectacular destinations to celebrate the New Year! From majestic ...,2026-01-17 02:31:26.578304
/watch?v=0hk-AKiArsc&pp=ygULdHJhdmVsIEFzaWE%3D,/@tripinsight.travel,Trip Insight,Wonders of Southeast Asia | The Most Amazing Places in Southeast Asia | Travel Video 4K,81K,1 year,"Wonders of Southeast Asia | The Most Amazing Places in Southeast Asia | Travel Video 4K Subscribe to the channel here, it's free ...",2026-01-17 02:31:26.579354
/watch?v=_m8R9YRukJE&pp=ygULdHJhdmVsIEFzaWE%3D,/@touropia,touropia,21 Best Places to Visit in Southeast Asia - Travel Video,2.2M,6 years,Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-southeast-asia/ Southeast Asia is a ...,2026-01-17 02:31:26.580293
/watch?v=7GHnsl4hC5A&pp=ygULdHJhdmVsIEFzaWE%3D,/@PaddyDoyle.,Paddy Doyle,"How to Travel Southeast Asia: The COMPLETE Guide (Route, Budget, Tips)",58K,4 months,Planning to travel Southeast Asia? - Don't forget to download the Klook app or visit http://www.klook.com and use the code ...,2026-01-17 02:31:26.581752
/watch?v=JE4zUuwE8OQ&pp=ygULdHJhdmVsIEFzaWE%3D,/@indietraveller,Indie Traveller,Travelling Southeast Asia: the EVERYTHING video (tips after 14 months),28K,8 months,"Links to all resources and guides I've mentioned Get even deeper advice with my book, Travel the World Without Worries *Grab ...",2026-01-17 02:31:26.582923
/watch?v=HcgCPFcGm_U&pp=ygULdHJhdmVsIEFzaWE%3D,/@ExpertLocalTraveller,Expert Local Traveller,10 UNBELIEVABLY CHEAP ASIA Destinations for budget travel in 2026,3.6K,8 months,Top 10 Budget-Friendly Countries in Asia to Travel in 2026 | Travel for Under $50/Day! Looking to travel Asia on a budget in ...,2026-01-17 02:31:26.584002
/watch?v=tna16oZTGCg&pp=ygULdHJhdmVsIEFzaWE%3D,/@FoodieBoyKR,FoodieBoy 푸디보이,Most Famous Street Food Tour in Southeast Asia,2.2M,1 year,Most Famous Street Food Tour in Southeast Asia timeline chapter 00:00 Famous Street Food in Vang vieng - Laos Street Food ...,2026-01-17 02:31:26.585702
/shorts/ObrDTjBuBLw,/@ChinesewithJessie,Chinese with Jessie,How Asian people travel VS How white people travel,1.2M,1 year,shorts #asian #travel #funny #comedy.,2026-01-17 02:31:26.587599
