video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=pf7rUsAWXW0&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@EpicExplorationsTVEN,EpicExplorationsTV EN,WONDERS OF AUSTRALIA | Most Amazing Places & Fun Facts | 4K Travel Guide,565K,1 year,Discover the most beautiful places in Australia in this captivating documentary about Australian landscapes! 🏞️ Take a look at ...,2026-01-17 02:32:04.752597
/watch?v=oB86BgeCnaw&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@trueglobe66,TRUE GLOBE,The Real Australia Most People Never Discover | 4K Travel Documentary,84K,2 months,"The Real Australia Most People Never Discover | 4K Travel Documentary Imagine celebrating Christmas in the middle of summer, ...",2026-01-17 02:32:04.754253
/watch?v=kLuqCtnKr_8&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@RyanShirley,Ryan Shirley,Top 10 Places To Visit in Australia - Travel Guide,1.1M,1 year,I recently returned from exploring Australia and I want to share with you my favorite places. Enjoy this travel guide featuring ...,2026-01-17 02:32:04.756235
/watch?v=93utcTSKRy4&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@EpicExplorationsTVEN,EpicExplorationsTV EN,Wonders of Australia | Most Amazing Places in Australia | 4K Travel Guide,417K,5 months,Discover the wonders of Australia in this extraordinary Australia documentary that will take you on a journey through the most ...,2026-01-17 02:32:04.759604
/watch?v=Gyn2ZTR2kV0&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@YellowProductions,Yellow Productions,AUSTRALIA TRAVEL GUIDE: 15 Things to Know Before You Go,217K,3 years,"Everything YOU need to know before you go to Australia! Including tips for getting in, getting around, what to do, where to stay, ...",2026-01-17 02:32:04.761781
/watch?v=8VAx35ssKW8&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@scenichunter,Scenic Hunter,25 Best Places To Visit In Australia | Travel Video,6.8K,7 months,25 Best Places To Visit In Australia | Travel Video #australia #australiatravel #travel #traveldestinations #australiatour Discover ...,2026-01-17 02:32:04.764938
/watch?v=lY08CI30qcU&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@livingsimplyaustralia,Living Simply Australia,17 Things Tourists SHOULD KNOW Before Visiting Australia 2025 (Don't Visit Without Knowing This!),549K,1 year,Settle in Australia with Confidence | The Ultimate Guide for Your First 2 Months in Australia ...,2026-01-17 02:32:04.767981
/watch?v=qVzNmi7-C6Y&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@virtualjourneysnz,Virtual Journeys NZ & Australia,2-Week Australia Itinerary: EVERYTHING You Need To Know,17K,1 year,⏱️⏱️TIME STAMPS⏱️⏱️ 00:00 Overview Travel Australia in 2 Weeks 01:03 Best time to visit Australia 01:57 Best ...,2026-01-17 02:32:04.769320
/watch?v=zsvZX0nZS04&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@IslandHopperTV,Island Hopper TV,Australia Travel Guide 2026 4K,38K,1 year,Are you looking for the best things to do in Australia in 2026? In this Australia travel video we show you all around Australia ...,2026-01-17 02:32:04.771551
/watch?v=BoepB8IDu6Y&pp=ygUQdHJhdmVsIEF1c3RyYWxpYQ%3D%3D,/@tripinsight.travel,Trip Insight,Wonders of Australia | The Most Amazing Places in Australia | Travel Video 4K,45K,1 year,"Wonders of Australia | The Most Amazing Places in Australia | Travel Video 4K Subscribe to the channel here, it's free but means a ...",2026-01-17 02:32:04.774191
