video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=TJERhGzxRK8&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@touropia,touropia,21 Best Places to Visit in South America - Travel Video,2.8M,6 years,Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-south-america/ South America is a ...,2026-01-17 02:30:01.221057
/watch?v=BWDcGGtb-zY&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@tripinsight.travel,Trip Insight,Wonders of South America | The Most Amazing Places in South America | Travel Video 4K,51K,11 months,"Wonders of South America | The Most Amazing Places in South America | Travel Video 4K Subscribe to the channel here, it's free ...",2026-01-17 02:30:01.222984
/watch?v=QXI1h_NzxMs&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@discoverydestination,Discovery Destination,12 INSANELY CHEAP Travel Destinations in South America,40K,1 year,These are the 12 insanely cheap travel destinations in South America attracting over 20 million visitors every year. The majority of ...,2026-01-17 02:30:01.224076
/watch?v=PpZDz24isUw&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@CreativeTravelGuide,Creative Travel Guide,15 BEST PLACES TO VISIT IN SOUTH AMERICA,62K,2 years,"South America is gorgeous and we share the 15 Best Places to visit in South America, so you can plan a trip to South America.",2026-01-17 02:30:07.729210
/watch?v=v1IXqRRgPY8&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@EpicExplorationsTVEN,EpicExplorationsTV EN,Wonders of South America | Most Amazing Places in South America | 4K Travel Guide,81K,11 months,"An epic journey through the most beautiful and spectacular places in South America, where nature and culture blend to create ...",2026-01-17 02:30:07.731457
/watch?v=UrTqdSDDFHw&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@SomethingToRemember,Something To Remember,TOP 30 Things To Do In SOUTH AMERICA | Your GUIDE to plan the perfect trip!,119K,2 years,"All good things must come to an end and after a whirlwind 5 months travelling through South America, we want to share the ...",2026-01-17 02:30:07.733558
/watch?v=dU6ADwB3QZI&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2HSBwkJTwoBhyohjO8%3D,/@DaneAndStacey,Dane and Stacey,20 South America Travel Tips! (learn from our mistakes 👀),53K,1 year,"South America is an incredible travel destination, but it's not easy to travel. So we're sharing what we learnt about deciphering ...",2026-01-17 02:30:07.735710
/watch?v=eFtEMV8aasU&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@epictravel360,EpicTravel360,South America's Hidden Gems: 50 Destinations Exposed,702,1 year,"Welcome to our countdown of the top 50 destinations in South America, a continent of staggering biodiversity, ancient civilizations, ...",2026-01-17 02:30:07.736971
/watch?v=sDQrNpuPGbs&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@tripinsight.travel,Trip Insight,Wonders of America | The Most Amazing Places in South America | Travel Video 4K,50K,1 year,"Wonders of America | The Most Amazing Places in South America | Travel Video 4K Subscribe to the channel here, it's free but ...",2026-01-17 02:30:07.738955
/watch?v=joIpzpL6Dgw&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@Niko,Niko Omilana,I Travelled Around The Entire Earth With $0: SOUTH AMERICA,2.7M,4 weeks,"We are in the final days now, will we make it? Check Out Odoo: https://www.odoo.com/r/6sK NEW NDL CLOTHING- ...",2026-01-17 02:30:07.740559
/watch?v=hiBZQPdSSCw&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@robbieroams,Robbie Roams,"Bolivia, Argentina & Brazil 2022 | 4 Months in South America Travel Video Vlog - Episode 3",17K,3 years,"In January 2022, Me & Jas completed an epic 4 month journey across South America! We recorded most of it and edited into 3 ...",2026-01-17 02:30:07.742792
/watch?v=Rx2dpdpBZB8&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@KaraandNate,Kara and Nate,First Class on South America's Most Luxurious Train (Andean Explorer),1.2M,5 months,"Join us as we ride The Andean Explorer - South America's best train for 3 days! It has been on our list forever, and it did not ...",2026-01-17 02:30:07.745298
/watch?v=U_0_0gsJKoo&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@NatGeo,National Geographic,From Baja to Patagonia (Full Episode) | Sobrevolando: Latin America from Above,297K,2 years,"Narrated by Gina Rodriguez, this stunning journey celebrates the beauty and culture of Latin America. From the crystalline ...",2026-01-17 02:30:07.747215
/watch?v=Tx95iN4ElpA&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@alexanderjamestravel,Freedom ,Flying to Peru with absolutely no plan | A Testament to Spontaneity,1.1M,1 year,"What's up y'all. in todays video, I show you guys what.",2026-01-17 02:30:07.748471
/watch?v=ewBJnmszHJ0&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2HSBwkJTwoBhyohjO8%3D,/@aussieespanol,AussieEspañol,365 Day South America Travel Recap!,23K,1 year,365 day recap of full-time travel with a dog and a tuk tuk. I can't believe it's already been a year... ​ AussieEspanol Merch Store ...,2026-01-17 02:30:07.749769
/watch?v=mWq5QkPK6UI&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@touropia,touropia,50 Best Places to Visit in Latin America,215K,6 months,"If your heart beats faster at the thought of vibrant cultures, breathtaking landscapes, and unforgettable adventures, then Latin ...",2026-01-17 02:30:07.750980
/watch?v=4EeLSHuWqw8&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@woltersworld,Wolters World,Best & Worst of Visiting South America,24K,1 year,5 Love & Hates of Visiting South America Heading to Brazil or Peru or Argentina and want to know some of the best travel advice ...,2026-01-17 02:30:07.752938
/watch?v=Y6qzKNws2MM&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@EpicExplorationsTVEN,EpicExplorationsTV EN,WONDERS OF LATIN AMERICA | Most Amazing Places in Latin America | 4K Travel Guide,53K,5 months,Discover the incredible wonders of Latin America in this exciting 4K documentary that takes you on a journey through the most ...,2026-01-17 02:30:07.755881
/watch?v=SoKS2aRnpq0&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@4kfilmsbyadnan,4k Films by Adnan,South America in 4K - Uncovering Hidden Gems & Incredible Scenes,210K,10 months,"In this video, I'll show you some hidden gems we discovered while exploring South America. I visited all of South America, from ...",2026-01-17 02:30:07.757885
/watch?v=zT_IZqiOKWw&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@woltersworld,Wolters World,Visit South America - The DON'Ts of Visiting South America,219K,7 years,Read The Blog on What Tourists Should Know Before They Visit South America: ...,2026-01-17 02:30:07.760255
/watch?v=vY_kxMJzVFk&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@TravelersDiscoveryy,Travelers Discovery,10 Places You MUST Visit in South America | America Travel Guide,475,8 months,10 Places You MUST Visit in South America | America Travel Guide Planning your next adventure? Discover the top 10 must-see ...,2026-01-17 02:30:15.556257
/shorts/F4For15bzPA,/@SophieTangTravels,Sophie Tang Travels,This is the reality of backpacking in South America,12K,1 year,SouthAmerica #Backpacking #Travel.,2026-01-17 02:30:15.557853
/watch?v=AciJRhnOgBk&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@LonelyPlanet,Lonely Planet,ECUADOR: Your Next Great South American Adventure | Lonely Planet's Best in Travel 2024,26K,2 years,"From the Andes mountains to the mighty Amazon, Ecuador is a haven for the senses. Here, you can taste local chocolate; smell ...",2026-01-17 02:30:15.559678
/watch?v=3McVKNioJ54&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@karlwatsondocs,Karl Watson: Travel Documentaries,"COLOMBIA 🇨🇴 2 Week Adventure | Ep1: Bogotá, San Gil, Guatapé, Medellín",465K,2 years,"2 weeks travelling around Colombia, trying to experience as many of the highlights as possible. I start with a foodie tour in Bogota; ...",2026-01-17 02:30:15.561243
/watch?v=gslGyY7b6Dc&pp=ygUUdHJhdmVsIFNvdXRoIEFtZXJpY2E%3D,/@Trektrendy,Trek Trendy,72 Hours on South America’s Most Luxurious Train,1.8M,3 years,"So come join me on a luxurious, first class adventure across South America. 0:00 - Introduction 1:48 - Getting on the train 3:08 ...",2026-01-17 02:30:15.563115
